college_code,college_name,branch,course,category,cutoff_rank
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,2AH,8229
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,GMH,6057
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,GMRH,9789
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,SCH,26938
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AR Architecture,ENGG,GMH,359
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,1H,99269
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,2AH,74114
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,2BH,80349
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,GMH,52302
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,GMKH,58696
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,GMRH,68080
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,SCH,97330
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2AH,7279
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2BH,11081
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3AH,6003
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3BRH,7437
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,GMH,4311
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,SCH,22940
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,SCKH,42078
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2AH,14565
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,3BH,8524
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,GMH,8166
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,GMRH,12040
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,SCH,50373
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,STH,48134
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,1H,31248
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2AH,28777
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2ARH,40201
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,3AH,27198
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,GMH,23739
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,SCH,64646
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,STH,57184
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,2AH,11546
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,GMH,5874
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,SCH,36173
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,STRH,36505
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,2AH,75384
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,2AKH,85010
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,3BH,59160
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,GMH,50101
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,GMRH,66589
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),ME Mechanical,ENGG,SCH,110036
E002,S K S J T Institute of Engineering. Bangalore,CE Civil,ENGG,3BH,105861
E002,S K S J T Institute of Engineering. Bangalore,CE Civil,ENGG,GMH,91027
E002,S K S J T Institute of Engineering. Bangalore,CE Civil,ENGG,SCKH,172977
E002,S K S J T Institute of Engineering. Bangalore,CE Civil,ENGG,STH,137620
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,2AH,22179
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,GMH,16632
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,SCH,40337
E002,S K S J T Institute of Engineering. Bangalore,CS Computers,ENGG,SCRH,49719
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,2AH,36035
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,GMH,30315
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,GMRH,33913
E002,S K S J T Institute of Engineering. Bangalore,EC Electronics,ENGG,SCH,72217
E002,S K S J T Institute of Engineering. Bangalore,ST Silk Tech.,ENGG,GMH,126451
E002,S K S J T Institute of Engineering. Bangalore,TX Textiles,ENGG,2BH,230737
E002,S K S J T Institute of Engineering. Bangalore,TX Textiles,ENGG,GMH,151195
E002,S K S J T Institute of Engineering. Bangalore,TX Textiles,ENGG,SCH,208212
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,2BH,138055
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,3BH,53382
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,GMH,33427
E003,"B M S College of Engineering Basavanagudi,Bangalore",CE Civil,ENGG,SCRH,116159
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,2AKH,13370
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,GMH,2771
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,SCH,24801
E003,"B M S College of Engineering Basavanagudi,Bangalore",EC Electronics,ENGG,STH,34507
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,2AH,18804
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,GMH,8993
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,GMRH,22528
E003,"B M S College of Engineering Basavanagudi,Bangalore",EE Electrical,ENGG,SCH,62536
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,1H,99176
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,3AH,111374
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,3ARH,116445
E003,"B M S College of Engineering Basavanagudi,Bangalore",IM Ind. Engg.,ENGG,GMH,28305
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,2AH,45696
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,GMH,23762
E003,"B M S College of Engineering Basavanagudi,Bangalore",ME Mechanical,ENGG,SCH,94853
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,2AH,113375
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,2ARH,128703
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,GMH,104296
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,SCH,132461
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,ENGG,STH,139509
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,2AH,12396
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,3AH,11929
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,3BRH,13623
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,ENGG,GMH,10083
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,2AH,29311
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,3BH,22013
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,GMH,21137
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,GMKH,25673
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,SCH,68845
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,SCRH,89051
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,ENGG,STH,65383
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,ENGG,2AH,42237
