college_code,college_name,branch,course,category,cutoff_rank
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,1G,10362
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,2AG,10866
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,2AR,11476
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,2BG,12715
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,3AG,7157
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,3BG,7979
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,GM,6491
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,GMK,8135
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,GMR,9067
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,SCG,27948
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,SCK,36559
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,SCR,37378
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,STG,32536
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AI Artificial,ENGG,STR,35989
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),AR Architecture,ENGG,GM,503
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,1G,98609
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,2AG,84690
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,2AK,94377
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,3AG,84511
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,3AK,84670
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,3BK,69405
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CE Civil,ENGG,3BR,83713
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,1G,7835
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,1R,13146
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2AG,6831
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2AK,8846
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2AR,7538
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2BG,10578
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,2BR,11860
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3AG,5476
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3AR,6547
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3BG,6057
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3BK,7918
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,3BR,6600
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,GM,4723
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,GMK,7849
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,GMR,6296
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,SCG,22940
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,SCK,26105
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,SCR,32681
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,STG,25405
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),CS Computers,ENGG,STR,25565
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,1G,12525
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,1R,17032
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2AG,12970
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2AK,21937
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2AR,13652
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2BG,16034
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,2BR,40511
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,3AG,9356
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,3AK,19963
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,3BG,10452
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,3BR,12854
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,GM,9130
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,GMK,15038
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,GMR,11968
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,SCG,44383
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,SCK,49110
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,SCR,48895
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,STG,34812
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EC Electronics,ENGG,STR,37639
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,1G,29282
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,1K,51745
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,1R,39563
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2AG,33108
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2AK,40667
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2AR,42160
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,2BG,33101
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,3AG,26819
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,3BG,30581
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,3BR,35222
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,GM,22286
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,GMK,27704
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,GMR,27495
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,SCG,69479
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,SCK,81527
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),EE Electrical,ENGG,STK,66517
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),IE Info.Science,ENGG,1G,8646
